Classe,Semestre,Cours,Type,Professeur,Séance,Date
E2b,S3,stat,CMPrim,ISM,1,2023-09-04
E2b,S3,stat,CMPrim,ISM,2,2023-09-11
E2b,S3,stat,CMPrim,ISM,3,2023-09-18
E2b,S3,stat,CMPrim,ISM,4,2023-09-25
E2b,S3,stat,CMPrim,ISM,5,2023-10-02
E2b,S3,stat,CMPrim,ISM,6,2023-10-09
E2b,S3,stat,TD,ISM,1,2023-10-16
E2b,S3,stat,TD,ISM,2,2023-10-23
E2b,S3,stat,TD,ISM,3,2023-10-30
E2b,S3,stat,TD,ISM,4,2023-11-06
E2b,S3,stat,TD,ISM,5,2023-11-13
E2b,S3,stat,TD,ISM,6,2023-11-20
E2b,S3,stat,TD,ISM,7,2023-11-27
E2b,S3,stat,TD,ISM,8,2023-12-04
E2b,S3,stat,EXL,ISM,1,2023-12-11
E2b,S3,ml,CMPrim,Ghassen,1,2023-12-18
E2b,S3,ml,CMPrim,Ghassen,2,2023-12-25
E2b,S3,ml,CMPrim,Ghassen,3,2024-01-01
E2b,S3,ml,CMPrim,Ghassen,4,2024-01-08
E2b,S3,ml,CMPrim,Ghassen,5,2024-01-15
